FECHA_CORTE;ANP_CATE;ANP_CODI;ANP_NOMB;ANP_SECT;ANP_UBPO;ANP_SULEG;ANP_UICN;ANP_BALEC;ANP_FELEC;ANP_BALEM;ANP_FELEM;ANP_WDPAID;UBIGEO1;DEPARTAMENTO1;PROVINCIA1;DISTRITO1;UBIGEO2;DEPARTAMENTO2;PROVINCIA2;DISTRITO2;UBIGEO3;DEPARTAMENTO3;PROVINCIA3;DISTRITO3;UBIGEO4;DEPARTAMENTO4;PROVINCIA4;DISTRITO4;UBIGEO5;DEPARTAMENTO5;PROVINCIA5;DISTRITO5;UBIGEO6;DEPARTAMENTO6;PROVINCIA6;DISTRITO6;UBIGEO7;DEPARTAMENTO7;PROVINCIA7;DISTRITO7;UBIGEO8;DEPARTAMENTO8;PROVINCIA8;DISTRITO8;UBIGEO9;DEPARTAMENTO9;PROVINCIA9;DISTRITO9;UBIGEO10;DEPARTAMENTO10;PROVINCIA10;DISTRITO10;UBIGEO11;DEPARTAMENTO11;PROVINCIA11;DISTRITO11;UBIGEO12;DEPARTAMENTO12;PROVINCIA12;DISTRITO12;UBIGEO13;DEPARTAMENTO13;PROVINCIA13;DISTRITO13;UBIGEO14;DEPARTAMENTO14;PROVINCIA14;DISTRITO14;UBIGEO15;DEPARTAMENTO15;PROVINCIA15;DISTRITO15;UBIGEO16;DEPARTAMENTO16;PROVINCIA16;DISTRITO16;UBIGEO17;DEPARTAMENTO17;PROVINCIA17;DISTRITO17;UBIGEO18;DEPARTAMENTO18;PROVINCIA18;DISTRITO18;UBIGEO19;DEPARTAMENTO19;PROVINCIA19;DISTRITO19;UBIGEO20;DEPARTAMENTO20;PROVINCIA20;DISTRITO20;UBIGEO21;DEPARTAMENTO21;PROVINCIA21;DISTRITO21;UBIGEO22;DEPARTAMENTO22;PROVINCIA22;DISTRITO22;UBIGEO23;DEPARTAMENTO23;PROVINCIA23;DISTRITO23;UBIGEO24;DEPARTAMENTO24;PROVINCIA24;DISTRITO24;UBIGEO25;DEPARTAMENTO25;PROVINCIA25;DISTRITO25;UBIGEO26;DEPARTAMENTO26;PROVINCIA26;DISTRITO26;UBIGEO27;DEPARTAMENTO27;PROVINCIA27;DISTRITO27;UBIGEO28;DEPARTAMENTO28;PROVINCIA28;DISTRITO28;UBIGEO29;DEPARTAMENTO29;PROVINCIA29;DISTRITO29;UBIGEO30;DEPARTAMENTO30;PROVINCIA30;DISTRITO30
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
